Genes	Uniprot	Protein	Color	RT_Exp1_affinity	RT_Exp2_affinity	RT_Exp3_affinity	EN_Exp1_affinity	EN_Exp2_affinity	EN_Exp3_affinity	RT_Avg_affinity	ENDO_Avg_affinity	Adjusted_P-value	RT_vs_WT_Adjusted_P-value	EN_vs_WT_Adjusted_P-value
HADHA	P40939	Trifunctional enzyme subunit alpha, mitochondrial	grey	0.401408	0.457656	0.432393	0.233122	0.26077	0.293119	NA	NA	NA	NA	NA
GARS	P41250	Glycine--tRNA ligase	grey	NA	0.6714	0.682413	0.396438	0.47277	0.438083	NA	NA	NA	NA	NA
IARS	P41252	Isoleucine--tRNA ligase, cytoplasmic	grey	0.449984	0.488969	0.488375	0.315692	0.362104	0.362307	NA	NA	NA	NA	NA
TMPO	P42166	Lamina-associated polypeptide 2, isoform alpha	grey	0.649075	0.715679	0.80172	0.533482	0.542675	0.604791	NA	NA	NA	NA	NA
RPS27	P42677	40S ribosomal protein S27	grey	NA	0.411423	0.381004	0.341102	0.312002	NA	NA	NA	NA	NA	NA
HELZ	P42694	Probable helicase with zinc finger domain	grey	0.575913	0.521756	0.548148	0.605285	0.589273	0.640826	NA	NA	NA	NA	NA
LRPPRC	P42704	Leucine-rich PPR motif-containing protein, mitochondrial	grey	0.378925	0.37713	0.365959	0.242967	0.23737	0.264212	NA	NA	NA	NA	NA
MATR3	P43243	Matrin-3	grey	0.42402	0.439506	0.454143	0.436954	0.461984	0.483492	NA	NA	NA	NA	NA
VDAC2	P45880	Voltage-dependent anion-selective channel protein 2	grey	0.569324	0.626378	0.652275	0.316122	0.355593	0.341879	NA	NA	NA	NA	NA
NOP2	P46087	Probable 28S rRNA	grey	0.359363	0.331232	0.378651	0.614157	0.611192	0.601647	NA	NA	NA	NA	NA
RPL27A	P46776	60S ribosomal protein L27a	grey	0.412155	0.388548	0.441506	0.446779	0.513455	0.485575	NA	NA	NA	NA	NA
RPL5	P46777	60S ribosomal protein L5	grey	0.331704	0.308655	0.399618	0.570884	0.595668	0.578086	NA	NA	NA	NA	NA
RPL28	P46779	60S ribosomal protein L28	grey	0.322633	0.374995	0.411924	0.497442	0.56078	0.517544	NA	NA	NA	NA	NA
RPS9	P46781	40S ribosomal protein S9	grey	0.402564	0.362615	0.419597	0.485738	0.461786	0.476912	NA	NA	NA	NA	NA
RPS5	P46782	40S ribosomal protein S5	grey	0.378843	0.391919	NA	0.547323	0.527783	NA	NA	NA	NA	NA	NA
MAP1B	P46821	Microtubule-associated protein 1B	grey	0.319545	0.329808	0.375671	0.269118	0.361203	0.285866	NA	NA	NA	NA	NA
RPL29	P47914	60S ribosomal protein L29	grey	0.318903	0.302367	0.546172	0.611452	0.609737	0.786552	NA	NA	NA	NA	NA
ARCN1	P48444	Coatomer subunit delta	grey	NA	0.587222	0.671355	0.355997	0.379519	0.45546	NA	NA	NA	NA	NA
CCT5	P48643	T-complex protein 1 subunit epsilon	grey	0.579458	0.569066	0.567307	0.275013	0.296787	0.304544	NA	NA	NA	NA	NA
FASN	P49327	Fatty acid synthase	grey	0.510564	0.545775	0.550231	0.337473	0.360806	0.376874	NA	NA	NA	NA	NA
CCT3	P49368	T-complex protein 1 subunit gamma	grey	0.64343	0.486634	0.591687	0.289039	0.318459	0.322692	NA	NA	NA	NA	NA
TUFM	P49411	Elongation factor Tu, mitochondrial	grey	0.461974	0.529157	0.489795	0.238802	0.268133	0.263554	NA	NA	NA	NA	NA
AARS	P49588	Alanine--tRNA ligase, cytoplasmic	grey	NA	0.697461	0.66485	0.307777	0.362453	0.385133	NA	NA	NA	NA	NA
MCM2	P49736	DNA replication licensing factor MCM2	grey	0.593642	0.605778	0.527541	0.488402	0.388733	NA	NA	NA	NA	NA	NA
RANBP2	P49792	E3 SUMO-protein ligase RanBP2	grey	0.290458	0.352583	0.624499	0.321999	0.3916	0.285955	NA	NA	NA	NA	NA
EMD	P50402	Emerin	grey	0.477779	0.484545	0.493319	0.432251	0.430785	0.434973	NA	NA	NA	NA	NA
RPL14	P50914	60S ribosomal protein L14	grey	0.339125	0.351045	0.36436	0.591039	0.655012	0.637155	NA	NA	NA	NA	NA
CCT8	P50990	T-complex protein 1 subunit theta	grey	0.635956	0.654219	0.703614	0.333597	0.334427	0.347934	NA	NA	NA	NA	NA
CCT4	P50991	T-complex protein 1 subunit delta	grey	0.573387	0.6236	0.634319	0.322212	0.335478	0.351934	NA	NA	NA	NA	NA
HNRNPA3	P51991	Heterogeneous nuclear ribonucleoprotein A3	grey	0.485977	0.465472	0.584047	0.505891	0.54193	0.543139	NA	NA	NA	NA	NA
HNRNPM	P52272	Heterogeneous nuclear ribonucleoprotein M	grey	0.480268	0.488846	0.55704	0.565391	0.598595	0.629357	NA	NA	NA	NA	NA
KPNA1	P52294	Importin subunit alpha-5	grey	NA	0.661491	0.656934	NA	0.6021	0.665493	NA	NA	NA	NA	NA
HNRNPF	P52597	Heterogeneous nuclear ribonucleoprotein F	grey	0.367723	0.374646	0.382355	0.481343	0.524735	0.519733	NA	NA	NA	NA	NA
MSH6	P52701	DNA mismatch repair protein Msh6	grey	0.374244	0.364887	0.366483	0.303026	0.329424	0.345852	NA	NA	NA	NA	NA
SLC25A1	P53007	Tricarboxylate transport protein, mitochondrial	grey	0.228032	0.368787	0.371203	0.238626	0.275226	0.317026	NA	NA	NA	NA	NA
PPP5C	P53041	Serine/threonine-protein phosphatase 5	grey	0.505595	NA	0.456463	0.272853	0.278248	0.224595	NA	NA	NA	NA	NA
ACLY	P53396	ATP-citrate synthase	grey	0.627884	0.60927	0.598463	0.316815	0.305532	0.338495	NA	NA	NA	NA	NA
COPB1	P53618	Coatomer subunit beta	grey	0.513998	0.538614	0.559706	0.349214	0.364384	0.385794	NA	NA	NA	NA	NA
COPA	P53621	Coatomer subunit alpha	grey	0.529892	0.563758	0.602381	0.351604	0.403982	0.41559	NA	NA	NA	NA	NA
SLC16A1	P53985	Monocarboxylate transporter 1	grey	NA	0.367182	0.352722	NA	0.254882	0.298079	NA	NA	NA	NA	NA
RARS	P54136	Arginine--tRNA ligase, cytoplasmic	grey	0.553336	0.556697	0.565664	0.345524	0.389975	0.40195	NA	NA	NA	NA	NA
ALDH18A1	P54886	Delta-1-pyrroline-5-carboxylate synthase	grey	NA	0.505136	0.535788	0.339453	0.350326	0.316582	NA	NA	NA	NA	NA
CSE1L	P55060	Exportin-2	grey	0.429473	0.449713	0.564378	0.299108	0.562262	0.358501	NA	NA	NA	NA	NA
VCP	P55072	Transitional endoplasmic reticulum ATPase	grey	0.758766	0.722547	0.789923	0.371984	0.415726	0.464595	NA	NA	NA	NA	NA
ADAR	P55265	Double-stranded RNA-specific adenosine deaminase	grey	0.402514	0.424586	0.454188	0.336784	0.442196	0.486899	NA	NA	NA	NA	NA
NPEPPSL1, NPEPPS	A6NEC2, P55786	Puromycin-sensitive aminopeptidase-like protein, Puromycin-sensitive aminopeptidase	grey	NA	0.546369	0.619617	0.340732	0.350229	0.355601	NA	NA	NA	NA	NA
HNRNPH2	P55795	Heterogeneous nuclear ribonucleoprotein H2	grey	0.419921	0.439923	0.482219	0.59034	0.559971	0.58316	NA	NA	NA	NA	NA
EIF3B	P55884	Eukaryotic translation initiation factor 3 subunit B	grey	0.527269	0.58665	0.5401	0.361533	0.401956	0.410277	NA	NA	NA	NA	NA
MARS	P56192	Methionine--tRNA ligase, cytoplasmic	grey	0.544576	0.522549	0.564746	0.333472	0.348838	0.405533	NA	NA	NA	NA	NA
EIF6	P56537	Eukaryotic translation initiation factor 6	grey	NA	0.480553	0.610842	0.378143	0.649407	NA	NA	NA	NA	NA	NA
GEMIN4	P57678	Gem-associated protein 4	grey	NA	0.400091	0.392605	NA	0.374891	0.363738	NA	NA	NA	NA	NA
NUP107	P57740	Nuclear pore complex protein Nup107	grey	NA	0.319691	0.433413	NA	0.279662	0.221201	NA	NA	NA	NA	NA
TPI1	P60174	Triosephosphate isomerase	grey	0.70573	0.635406	NA	0.417334	0.408065	NA	NA	NA	NA	NA	NA
ACTB	P60709	Actin, cytoplasmic 1	grey	0.635902	0.640093	0.650718	0.321694	0.347201	0.350141	NA	NA	NA	NA	NA
EIF4A1	P60842	Eukaryotic initiation factor 4A-I	grey	0.776493	0.765181	0.797382	0.547039	0.530476	0.544041	NA	NA	NA	NA	NA
ACTR3, ACTR3B	P61158, Q9P1U1	Actin-related protein 3, Actin-related protein 3B	grey	NA	0.677947	0.657622	0.330215	0.377641	0.394752	NA	NA	NA	NA	NA
RPS3A	P61247	40S ribosomal protein S3a	grey	NA	0.492251	0.550913	0.467451	0.491778	0.469666	NA	NA	NA	NA	NA
RPL15	P61313	60S ribosomal protein L15	grey	0.355508	0.332497	0.404336	0.591266	0.610381	0.634325	NA	NA	NA	NA	NA
RPL27	P61353	60S ribosomal protein L27	grey	0.324365	0.32677	0.37021	0.588314	0.590524	0.697315	NA	NA	NA	NA	NA
HNRNPK	P61978	Heterogeneous nuclear ribonucleoprotein K	grey	0.537218	0.54478	0.573434	0.488954	0.511284	0.501157	NA	NA	NA	NA	NA
PSMC1	P62191	26S proteasome regulatory subunit 4	grey	NA	0.501372	0.594394	NA	0.392989	0.413932	NA	NA	NA	NA	NA
PSMC5	P62195	26S proteasome regulatory subunit 8	grey	0.603778	0.558203	0.611723	NA	0.403985	0.392531	NA	NA	NA	NA	NA
RPS8	P62241	40S ribosomal protein S8	grey	0.383306	0.355341	0.407809	0.593963	0.613208	0.645958	NA	NA	NA	NA	NA
RPS16	P62249	40S ribosomal protein S16	grey	0.429212	0.512148	0.614436	0.447227	0.496033	0.568317	NA	NA	NA	NA	NA
YWHAE	P62258	14-3-3 protein epsilon	grey	0.475939	0.513705	0.537064	0.32793	0.42649	0.4248	NA	NA	NA	NA	NA
RPS14	P62263	40S ribosomal protein S14	grey	NA	0.342862	0.404512	0.335753	0.367549	0.353857	NA	NA	NA	NA	NA
RPS23	P62266	40S ribosomal protein S23	grey	NA	0.421972	0.44765	NA	0.400265	0.383941	NA	NA	NA	NA	NA
RPS18	P62269	40S ribosomal protein S18	grey	0.400389	0.491478	0.578281	0.389576	0.519996	0.441716	NA	NA	NA	NA	NA
RPS13	P62277	40S ribosomal protein S13	grey	NA	0.473021	0.509996	NA	0.47533	0.470719	NA	NA	NA	NA	NA
RPS11	P62280	40S ribosomal protein S11	grey	NA	0.43416	0.436818	0.370465	0.364221	0.3547	NA	NA	NA	NA	NA
RPL7A	P62424	60S ribosomal protein L7a	grey	0.329432	0.321841	0.375764	0.591536	0.610418	0.630526	NA	NA	NA	NA	NA
RPS4X	P62701	40S ribosomal protein S4, X isoform	grey	0.46748	0.538798	0.575156	0.277656	0.426161	0.43132	NA	NA	NA	NA	NA
RPS6	P62753	40S ribosomal protein S6	grey	0.384866	0.488366	0.453509	0.494451	0.5331	0.581083	NA	NA	NA	NA	NA
HIST1H4A	P62805	Histone H4	grey	0.602943	0.597596	0.678845	0.680612	0.683005	0.748013	NA	NA	NA	NA	NA
RAN	P62826	GTP-binding nuclear protein Ran	grey	0.607854	0.650543	0.694407	0.375951	0.421416	0.392316	NA	NA	NA	NA	NA
RPL23	P62829	60S ribosomal protein L23	grey	0.34239	0.380107	0.369401	0.295153	0.332575	0.34677	NA	NA	NA	NA	NA
RPL30	P62888	60S ribosomal protein L30	grey	0.355243	0.337682	0.367052	0.623845	0.651921	0.656858	NA	NA	NA	NA	NA
RPL10A	P62906	60S ribosomal protein L10a	grey	0.341807	0.335582	0.377902	0.586646	0.61688	0.638625	NA	NA	NA	NA	NA
RPL32	P62910	60S ribosomal protein L32	grey	0.292463	0.33482	NA	0.59633	0.620382	NA	NA	NA	NA	NA	NA
RPL11	P62913	60S ribosomal protein L11	grey	0.333548	0.352873	0.412324	0.566217	0.613602	0.609838	NA	NA	NA	NA	NA
RPL8	P62917	60S ribosomal protein L8	grey	0.356616	0.319285	0.384812	0.614333	0.629294	0.662896	NA	NA	NA	NA	NA
TRA2B	P62995	Transformer-2 protein homolog beta	grey	0.223245	0.199148	0.199468	0.483633	0.542017	0.537284	NA	NA	NA	NA	NA
YWHAZ	P63104	14-3-3 protein zeta/delta	grey	0.510003	0.531219	0.566874	0.352319	0.40828	0.411016	NA	NA	NA	NA	NA
PPP2R2A, PPP2R2D	P63151, Q66LE6	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform, Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	grey	NA	0.5573	0.641287	0.484641	0.354055	0.308414	NA	NA	NA	NA	NA
RACK1	P63244	Receptor of activated protein C kinase 1	grey	0.650068	0.683551	0.740905	0.413186	0.420922	0.408101	NA	NA	NA	NA	NA
YBX1	P67809	Nuclease-sensitive element-binding protein 1	grey	0.341219	0.310639	0.325997	0.569521	0.551565	0.570093	NA	NA	NA	NA	NA
EEF1A1, EEF1A1P5	P68104, Q5VTE0	Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3	grey	0.6447	0.60328	0.630077	0.449716	0.460673	0.474713	NA	NA	NA	NA	NA
TUBA1B	P68363	Tubulin alpha-1B chain	grey	0.480739	0.473588	0.472681	0.307004	0.341416	0.34426	NA	NA	NA	NA	NA
GTF2I	P78347	General transcription factor II-I	grey	0.320182	0.339034	0.360997	0.285205	0.294524	0.28949	NA	NA	NA	NA	NA
CCT2	P78371	T-complex protein 1 subunit beta	grey	0.598239	0.62539	0.616732	0.305347	0.361278	0.360279	NA	NA	NA	NA	NA
PRKDC	P78527	DNA-dependent protein kinase catalytic subunit	grey	0.35499	0.365663	0.364189	0.313907	0.323227	0.340818	NA	NA	NA	NA	NA
MRPS9	P82933	28S ribosomal protein S9, mitochondrial	grey	0.447793	0.440755	0.460378	0.460973	0.434726	0.393622	NA	NA	NA	NA	NA
RPL24	P83731	60S ribosomal protein L24	grey	0.379994	0.414038	0.440946	0.337636	0.367898	0.360995	NA	NA	NA	NA	NA
ERH	P84090	Enhancer of rudimentary homolog	grey	0.190274	0.118674	NA	0.281159	0.239704	NA	NA	NA	NA	NA	NA
RPL19	P84098	60S ribosomal protein L19	grey	0.37304	0.382096	0.422037	0.607225	0.657662	0.655724	NA	NA	NA	NA	NA
SRSF3	P84103	Serine/arginine-rich splicing factor 3	grey	0.287943	0.165571	NA	0.464115	0.397401	NA	NA	NA	NA	NA	NA
SLC25A3	Q00325	Phosphate carrier protein, mitochondrial	grey	0.364766	0.364644	0.379924	0.346128	0.338549	0.352449	NA	NA	NA	NA	NA
CLTC	Q00610	Clathrin heavy chain 1	grey	0.496915	0.543981	0.546668	0.320672	0.377442	0.357877	NA	NA	NA	NA	NA
